	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
12651	4	RPL28	0.0787190624327361	0.928990578786107	0.895169153080497	1.0778277293521	1.72215550111093	1.59860479964361	-0.0787190624327361	0.0938322220670585	1.14575236572415e-92	1.29378863672779e-79	2.29505972425251e-77	3.19872362805078e-149	2.53548662137289e-117	0.0938322220670585
11731	5	RPS21	0.480680923523892	2.41989691285246	1.65737305051256	1.41901485232161	1.64017771173375	1.74676174773459	-0.480680923523892	1.31949801292279e-26	3.3299982169195e-287	2.63314219136293e-166	2.51623654428609e-91	8.90772319709308e-112	2.13387192153757e-104	1.31949801292279e-26
12535	5	RPL13A	0.178620381228789	1.55011205017124	0.963853565439424	1.032709640405	1.84608084395045	1.73849252028734	-0.178620381228789	7.70742756197502e-05	1.19007086632992e-188	2.89863676879597e-81	1.20048742550093e-64	4.01118223362886e-149	7.21652629856183e-119	7.70742756197502e-05
3555	10	RPL37	1.16478147083487	0.0930145603161739	0.388739002367998	0.227273092073697	0.12710930610706	0.309992634070189	-1.16478147083487	9.64153193895343e-147	0.0651853823552695	4.00794520426325e-15	0.000345077587756935	0.0571666415154057	4.91248710302084e-06	9.64153193895343e-147
10743	13	RPL23	0.221858260358432	2.18747063039178	0.533977718842695	0.730677158696518	1.51707448376123	1.61683681618159	-0.221858260358432	2.40375463807702e-06	6.78405732813378e-257	5.94185022876071e-25	1.85401724824902e-30	3.19032491257178e-99	1.55678752400525e-93	2.40375463807702e-06
12123	14	RPL18A	0.509925751946965	1.8217473138926	0.667262741176359	0.69870633552183	0.311844125592507	0.347084195573224	-0.509925751946965	4.25546349768066e-36	1.59682169819017e-245	6.19811016536277e-46	6.40600822995132e-35	7.99050435995615e-08	3.02915236652204e-08	4.25546349768066e-36
9887	17	RPS2	0.26426383205493	1.31959296938656	0.0917003008415783	0.229813461917572	1.41668718852555	1.55725668833427	-0.26426383205493	3.94190398942396e-10	3.4449369721099e-156	0.0744604507340914	9.23461141565695e-05	3.16671976603045e-107	5.95401249151139e-108	3.94190398942396e-10
11928	19	RPS28	0.494126111475034	1.68895079920013	0.696812815440101	0.869164405938912	1.53898680508844	1.61062904812538	-0.494126111475034	2.19451047288713e-30	3.55069697900984e-200	3.79962870800726e-44	3.38064733399926e-45	9.72666674055834e-111	1.67226560879373e-101	2.19451047288713e-30
4688	21	AKAP12	2.02934322592997	0.273922356526592	0.606041165070766	0.62294394575269	1.03263440102759	2.73839387148283	-2.02934322592997	1.53491833168322e-116	0.0135051301726433	1.25707702392359e-07	2.98893517155444e-05	6.24651966590533e-13	1.61014626288555e-42	1.53491833168322e-116
10747	21	RPL19	0.329234365224133	1.64509704666836	0.704813768713035	0.742494356388092	1.02243636694416	1.05752641036689	-0.329234365224133	7.89408232253352e-16	5.23736860309944e-210	2.86701933143123e-50	4.44370683810667e-38	4.82607080440117e-64	2.93248752342289e-58	7.89408232253352e-16
