	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
124	1	NPPB	4.93084419221559	5.77098280670292	-5.77098280670292	2.94839355993274	6.15326368417598	6.08646473431022	6.20224766850612	1.35331938582989e-195	1.93297569268725e-195	1.93297569268725e-195	1.3147317937711e-63	7.92505945639845e-133	2.92597736385086e-107	5.74832481714543e-248
256	1	IFI6	1.39511941604601	-4.14328765189781	4.14328765189781	0.491774841722473	1.14629209329547	1.74958729251229	1.68912133361508	8.072838025397e-19	0	0	0.112316332938632	1.21483456970603e-08	6.11931059093083e-14	1.4208499049323e-29
543	1	DIRAS3	5.39721692835208	4.57255356002855	-4.57255356002855	0.180082128017956	5.64385933018242	5.62117724579731	5.15036531991196	0	9.08514658918262e-276	9.08514658918262e-276	0.192161789157977	1.33612040360285e-219	3.66821611040892e-180	0
8864	1	TPT1	-0.124535275190036	1.18556198881998	-1.18556198881998	0.3244356613088	6.45280729658885	7.49646465174808	-0.049033690796597	0.0148042407270079	1.99151001740403e-115	1.99151001740403e-115	6.9408094050382e-07	0	0	0.347139247539088
2097	2	IGFBP5	5.21047967089333	5.7941553733031	-5.7941553733031	1.76439351890839	6.26082719603149	6.36508884459609	6.59039759390731	2.16960868504147e-268	4.98618991405403e-261	4.98618991405403e-261	1.83585610612203e-45	1.88390927051262e-180	4.60156617805385e-150	0
5343	2	RARRES2	-0.127769622337059	-0.560619151357556	0.560619151357556	-0.201466687638561	-3.86803193383585	-5.41934548133066	0.421658326395856	0.527548189291326	0.00217982652425545	0.00217982652425545	0.655397714029484	1.17833350339653e-130	6.55368007754096e-254	0.000254289768380858
5497	2	TIMP1	5.85915310685954	1.17816179785334	-1.17816179785334	0.698501187799979	2.99621151423238	5.51132942007417	6.44634686015308	0	9.23981661023362e-44	9.23981661023362e-44	1.70528357411954e-10	7.59034018679287e-112	3.33055871013619e-178	0
6301	2	IL33	4.71827684458829	4.62773165518759	-4.62773165518759	1.3177690425617	4.8150302464235	4.88729187796775	4.94642675723977	2.8643177164622e-316	4.87059084812476e-284	4.87059084812476e-284	7.53642507910853e-40	3.53774719901955e-206	5.48232247000002e-171	0
3283	3	CENPE	-1.23527571233811	-0.776013225250444	0.776013225250444	-2.66939881082296	-1.74970656841486	-1.73732924353116	-1.91160108235773	2.96873419053917e-12	3.99112063299596e-05	3.99112063299596e-05	3.59141444035645e-42	9.35453308215563e-19	8.32624082638218e-16	1.10218174799617e-30
4545	3	CD24	-3.13797040061102	0.0787540558148404	-0.0787540558148404	-1.24848114400536	-4.03772136664009	-5.40516130494708	-3.37426618260238	8.12574338326689e-78	0.456062131773755	0.456062131773755	1.58404103804149e-08	8.81438799358104e-113	1.55286371255017e-206	2.39573942158164e-94
7182	4	MALAT1	0.447688097831044	4.41920498760625	-4.41920498760625	0.517303595662373	0.239326038099278	0.0475602164786992	-0.180830230156392	1.14699483917129e-06	7.9158263138041e-273	7.9158263138041e-273	4.39005143443772e-05	0.070984806767367	0.78682633391415	0.0527395731921994
12082	4	UCA1	-2.53920885531292	0.0803876167222385	-0.0803876167222385	-1.19419267454346	-3.27137735194668	-5.22860258175478	-3.75337952850228	2.0584540706315e-46	0.523762634267826	0.523762634267826	2.76646064493652e-07	1.96400568824793e-65	2.10382555803459e-180	4.7319550963091e-111
8106	5	GAPDH	0.279521106316353	1.464432307759	-1.464432307759	0.208935565714933	2.06351461082985	2.25365073444009	0.468211186371343	1.03455467871747e-08	2.24369674899429e-158	2.24369674899429e-158	0.00522952338129218	5.51641163078916e-166	1.20223456169025e-163	1.54505134997592e-24
9169	5	DLGAP5	-1.00402545848231	-0.318889674909488	0.318889674909488	-2.44783466334573	-2.0206913030754	-1.82796326610684	-1.18912591282101	1.61935317113944e-09	0.0851411856366875	0.0851411856366875	1.21309465214783e-39	1.51918229095255e-29	1.9172768457224e-20	1.03711321949654e-13
9378	5	MEG3	4.24999898691891	4.22803456585182	-4.22803456585182	1.1925272203658	4.16562665972282	4.33676816971279	4.3998749362701	1.03207682714838e-251	1.03079774345384e-219	1.03079774345384e-219	1.07539079134358e-23	1.32158954892776e-146	1.04666491027469e-117	3.90024906210334e-287
