	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
256	1	IFI6	-0.294001917569074	-5.53840706794382	-1.39511941604601	-0.903344574323538	-0.248827322750542	0.354467876466276	0.294001917569074	0.0393114074204309	0	8.072838025397e-19	1.47468751322491e-05	0.249030136360191	0.0992381666577752	0.0393114074204309
543	1	DIRAS3	0.246851608440116	-0.824663368323529	-5.39721692835208	-5.21713480033412	0.246642401830342	0.223960317445234	-0.246851608440116	0.11042871886515	3.04368920134561e-07	0	4.18100655669801e-269	0.0919740754015181	0.217170378976459	0.11042871886515
5497	1	TIMP1	-0.587193753293539	-4.6809913090062	-5.85915310685954	-5.16065191905956	-2.86294159262716	-0.347823686785369	0.587193753293539	0.00192807682121359	2.28863148992305e-262	0	3.13159899277948e-271	3.6924207993861e-78	0.205228548967055	0.00192807682121359
8864	1	TPT1	-0.0755015843934389	1.31009726401002	0.124535275190036	0.448970936498836	6.57734257177889	7.62099992693812	0.0755015843934389	0.129863279519392	7.68945129510068e-148	0.0148042407270079	1.07189004862353e-14	0	0	0.129863279519392
12312	1	SPINT2	-4.08297607742055	3.15059819628392	4.6212263867636	4.6999549401205	3.22989695897072	0.802922826922764	4.08297607742055	1.5547425007836e-299	2.18763305966088e-202	3.78419873286702e-260	1.23842806977668e-164	3.51977952071889e-141	3.70888713250137e-16	1.5547425007836e-299
2087	2	FN1	-3.69145373541882	5.33112186333587	2.17360625852122	3.05348116106766	3.19512526522093	4.00557575046782	3.69145373541882	1.96488421460752e-246	9.45191864372586e-281	2.89133807195815e-97	1.6827197358559e-102	9.39745742118815e-106	5.78158347683989e-117	1.96488421460752e-246
5343	2	RARRES2	-0.549427948732915	-0.432849529020497	0.127769622337059	-0.0736970653015016	-3.74026231149879	-5.2915758589936	0.549427948732915	4.03743030857209e-06	0.0115982230677593	0.527548189291326	0.808451390565979	3.57554617500954e-145	7.22569490375482e-282	4.03743030857209e-06
5594	2	XIST	-0.124398683684683	-3.07538254123117	-4.14400433445453	-3.5391542650548	-4.30443018171607	-4.31959143773171	0.124398683684683	0.236341715725132	1.14377280255568e-99	7.78619342671636e-201	1.11950000560911e-105	9.76102266733424e-191	3.92466177261639e-174	0.236341715725132
9350	2	IFI27	-1.31999083037506	-5.46558687732231	-3.72232546870203	-2.65246924493925	-0.89228465973419	-1.8520137480398	1.31999083037506	9.29275076673706e-17	0	4.50537821550267e-171	1.3301121924195e-58	4.65904557095406e-06	2.00021692898026e-23	9.29275076673706e-17
890	3	MUC1	0.577303756681666	-0.788317605295272	0.0273236838242812	0.367311422324543	-2.44134935045099	-4.06221079591978	-0.577303756681666	0.000300421466465437	2.43265673008498e-06	0.880221626367574	0.0593017094259904	2.36533463235082e-52	2.18485185706343e-177	0.000300421466465437
