	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
124	1	NPPB	1.98245063228286	2.82258924677018	-2.94839355993274	2.94839355993274	3.20487012424324	3.13807117437748	3.25385410857338	1.69473542887864e-16	1.8913994694634e-26	1.3147317937711e-63	1.3147317937711e-63	2.7503189965699e-23	2.57778967358658e-18	6.42290003108065e-40
5497	1	TIMP1	5.16065191905956	0.479660610053362	-0.698501187799979	0.698501187799979	2.2977103264324	4.81282823227419	5.7478456723531	3.13159899277948e-271	3.75055161701238e-06	1.70528357411954e-10	1.70528357411954e-10	1.19238121022322e-63	5.27141825629106e-134	1.23855340493359e-318
8864	1	TPT1	-0.448970936498836	0.861126327511183	-0.3244356613088	0.3244356613088	6.12837163528005	7.17202899043928	-0.373469352105397	1.07189004862353e-14	2.36771790938809e-48	6.9408094050382e-07	6.9408094050382e-07	0	0	4.81339365491065e-11
11163	1	ACTG1	0.462417042013127	3.15054042826649	0.186856524836454	-0.186856524836454	0.0244200967885017	0.383757664974974	-0.373101991994418	5.14518209636693e-11	3.46940855323902e-254	0.0681995148025115	0.0681995148025115	0.867615852417703	5.18064506464885e-05	6.18633277460639e-08
256	2	IFI6	0.903344574323538	-4.63506249362028	-0.491774841722473	0.491774841722473	0.654517251572996	1.25781245078981	1.19734649189261	1.47468751322491e-05	3.30861161842576e-232	0.112316332938632	0.112316332938632	0.0155693375111871	2.1840704894051e-06	1.57305582902824e-10
543	2	DIRAS3	5.21713480033412	4.39247143201059	-0.180082128017956	0.180082128017956	5.46377720216446	5.44109511777935	4.970283191894	4.18100655669801e-269	1.64438869172599e-216	0.192161789157977	0.192161789157977	1.33140700757023e-186	6.06356549157241e-154	7.50514861463558e-278
2097	2	IGFBP5	3.44608615198495	4.02976185439471	-1.76439351890839	1.76439351890839	4.4964336771231	4.6006953256877	4.82600407499892	3.27934274155938e-89	2.81666006738428e-96	1.83585610612203e-45	1.83585610612203e-45	1.01062258893244e-75	7.63888859549165e-63	4.72692715344257e-137
5343	2	RARRES2	0.0736970653015016	-0.359152463718995	0.201466687638561	-0.201466687638561	-3.66656524619729	-5.2178787936921	0.623125014034417	0.808451390565979	0.17310946778077	0.655397714029484	0.655397714029484	2.99683892888779e-77	6.18240901248754e-167	9.60453943574042e-05
3283	3	CENPE	1.43412309848485	1.89338558557252	2.66939881082296	-2.66939881082296	0.919692242408096	0.932069567291799	0.757797728465225	2.00179383497909e-18	4.99346442453063e-27	3.59141444035645e-42	3.59141444035645e-42	2.39589267811164e-06	1.1934817407624e-05	1.2029955593032e-06
8106	3	GAPDH	0.0705855406014205	1.25549674204407	-0.208935565714933	0.208935565714933	1.85457904511492	2.04471516872515	0.259275620656411	0.332517517103293	8.40727165790529e-96	0.00522952338129218	0.00522952338129218	2.97775963172834e-123	6.20312707690087e-126	7.83459591956961e-06
10182	3	MT2A	0.87314502118181	0.526857447124008	0.00265174803267928	-0.00265174803267928	1.43264766657257	2.44764767397854	3.42482064785755	1.25512666284368e-16	1.41779278940474e-06	1	1	4.96087725239275e-26	2.9768670620555e-58	9.2954655886637e-204
10583	3	UBB	4.44069298323625	0.789063117995595	0.306835142091776	-0.306835142091776	0.304421257018328	0.278983095431568	4.3333450743728	7.71022079997297e-190	5.73670791671589e-14	0.0306750478093506	0.0306750478093506	0.0229541416163659	0.054389128756162	1.8747962042466e-197
3833	4	TGFBI	2.03670900523551	2.51596217763611	0.00426555946059432	-0.00426555946059432	3.73987789512051	3.49196082848059	1.40192308097812	5.97475794952321e-64	2.51249636224174e-82	1	1	2.23919854764224e-93	2.32478714458201e-73	3.79454204132252e-37
6301	4	IL33	3.40050780202659	3.30996261262589	-1.3177690425617	1.3177690425617	3.4972612038618	3.56952283540605	3.62865771467807	5.41877747874414e-98	3.49193805396772e-85	7.53642507910853e-40	7.53642507910853e-40	5.13109114460753e-67	1.81215137344206e-55	1.35796660441039e-117
