	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
256	1	IFI6	5.53840706794382	-5.53840706794382	4.14328765189781	4.63506249362028	5.28957974519328	5.89287494441009	5.83240898551289	0	0	0	3.30861161842576e-232	3.09574861910057e-276	1.02262051266532e-244	0
8864	1	TPT1	-1.31009726401002	1.31009726401002	-1.18556198881998	-0.861126327511183	5.26724530776887	6.3109026629281	-1.23459567961658	7.68945129510068e-148	7.68945129510068e-148	1.99151001740403e-115	2.36771790938809e-48	0	1.39508405731403e-297	1.1117291396451e-141
11163	1	ACTG1	-2.68812338625336	2.68812338625336	-2.96368390343004	-3.15054042826649	-3.12612033147799	-2.76678276329152	-3.52364242026091	4.29816289582726e-239	4.29816289582726e-239	1.10042395726144e-266	3.46940855323902e-254	2.9741567152495e-251	8.625212807303e-186	0
572	2	IFI44L	4.19375901194247	-4.19375901194247	3.34635236242846	3.92596854906567	4.57297170857088	4.52374016109132	4.48918760354812	7.89527990997918e-278	7.89527990997918e-278	3.558261355834e-183	5.38106111407276e-121	1.46463849615367e-177	4.19021686630987e-135	0
6301	2	IL33	0.0905451894007064	-0.0905451894007064	-4.62773165518759	-3.30996261262589	0.187298591235911	0.25956022278016	0.318695102052182	0.584775462367303	0.584775462367303	4.87059084812476e-284	3.49193805396772e-85	0.334001957756996	0.216291888936991	0.00780180241272534
9350	2	IFI27	5.46558687732231	-5.46558687732231	1.74326140862028	2.81311763238306	4.57330221758812	3.6135731292825	6.78557770769737	0	0	1.14381948154313e-101	1.7378812993129e-124	1.31423887438998e-204	8.74817940122993e-141	0
543	3	DIRAS3	0.824663368323529	-0.824663368323529	-4.57255356002855	-4.39247143201059	1.07130577015387	1.04862368576876	0.577811759883413	3.04368920134561e-07	3.04368920134561e-07	9.08514658918262e-276	1.64438869172599e-216	4.04217161452528e-08	3.99213343074138e-06	0.000419390940674629
2367	3	RPSA	-1.7595446760263	1.7595446760263	-1.82565997748496	-1.97053245633439	-1.42835536156954	-1.54549041190397	-2.53926147792471	1.13246992207136e-170	1.13246992207136e-170	4.96013994083832e-170	5.17311045983467e-157	8.00676812545285e-85	4.71229973003256e-88	0
5343	3	RARRES2	0.432849529020497	-0.432849529020497	0.560619151357556	0.359152463718995	-3.30741278247829	-4.8587263299731	0.982277477753412	0.0115982230677593	0.0115982230677593	0.00217982652425545	0.17310946778077	3.95109868799963e-115	1.02262051266532e-244	5.63552213794088e-13
7833	3	SNCG	4.73906862101404	-4.73906862101404	3.94192408177546	4.37584519441897	4.7443958117507	3.59576987629333	4.76855682630248	1.3849482385966e-308	1.3849482385966e-308	1.94848013794943e-237	2.5826048657311e-163	1.47385388858902e-196	6.57957618824721e-130	0
7182	4	MALAT1	-3.97151688977521	3.97151688977521	-4.41920498760625	-3.90190139194388	-4.17987894950697	-4.37164477112755	-4.60003521776264	6.83939417887493e-243	6.83939417887493e-243	7.9158263138041e-273	7.93059802874788e-206	2.79001091014607e-222	7.75578952941035e-227	2.04590751579878e-302
12113	4	BST2	4.85031328928673	-4.85031328928673	2.54897675909992	3.34647493148585	3.80513462379204	2.84081286194317	4.50394838180981	1.85523041542986e-295	1.85523041542986e-295	1.51146773406897e-145	1.21577413011713e-122	6.81964127557766e-155	2.06789669613005e-95	5.49348580053933e-305
4545	5	CD24	-3.21672445642586	3.21672445642586	-0.0787540558148404	-1.3272351998202	-4.11647542245493	-5.48391536076192	-3.45302023841722	1.90850464654539e-85	1.90850464654539e-85	0.456062131773755	1.39381076544881e-11	2.96879254196427e-121	1.42616335237755e-218	5.51697558109301e-103
7466	5	TAGLN	-2.19054493007285	2.19054493007285	-6.07233058658481	-5.69525057280718	-3.90595996377287	-2.16602158893443	-1.1785642265255	2.92696564829943e-25	2.92696564829943e-25	5.0716625871383e-251	1.30113226289327e-189	3.25745843698974e-77	1.59583611442396e-16	7.06117536048747e-08
8634	5	RPL6	-1.87045762601446	1.87045762601446	-1.77838020177158	-1.879434919789	-0.954498699189291	-0.983237209375023	-2.5476225943377	1.6089189436e-197	1.6089189436e-197	5.33549947224503e-169	1.70955227759748e-149	3.05975759385394e-39	4.42242445120168e-36	0
11731	5	RPS21	-2.41989691285246	2.41989691285246	-0.762523862339901	-1.00088206053085	-0.779719201118706	-0.673135165117872	-2.90057783637635	3.3299982169195e-287	3.3299982169195e-287	3.33051204747466e-31	1.49496409717505e-39	9.7821975960594e-25	9.66265121499246e-16	0
845	6	S100A2	-4.75136455214649	4.75136455214649	-0.927885101007014	-0.909410852327336	-2.20270462573185	-5.71197712443626	-2.64043955273011	2.85367447025505e-166	2.85367447025505e-166	1.82788855785159e-05	0.000739619983969651	3.64950004198362e-23	4.94086556711411e-203	4.69213145582251e-45
