	Top	Gene	logFC.vs.2	logFC.vs.3	logFC.vs.4	logFC.vs.5	logFC.vs.6	logFC.vs.7	logFC.vs.1	FDR.vs.2	FDR.vs.3	FDR.vs.4	FDR.vs.5	FDR.vs.6	FDR.vs.7	FDR.vs.1
845	1	S100A2	-2.54865992641463	2.20270462573185	1.27481952472484	1.29329377340452	-1.29329377340452	-3.50927249870441	-0.437734926998259	8.93712288345203e-61	3.64950004198362e-23	4.35468660656028e-09	5.25176935030487e-06	5.25176935030487e-06	2.85728727694159e-94	0.0226049952073678
8864	1	TPT1	-6.57734257177889	-5.26724530776887	-6.45280729658885	-6.12837163528005	6.12837163528005	1.04365735515923	-6.50184098738545	0	0	0	0	0	0.000275511021253329	0
256	2	IFI6	0.248827322750542	-5.28957974519328	-1.14629209329547	-0.654517251572996	0.654517251572996	0.603295199216817	0.542829240319616	0.249030136360191	3.09574861910057e-276	1.21483456970603e-08	0.0155693375111871	0.0155693375111871	0.0514852975846997	0.00164945260872536
543	2	DIRAS3	-0.246642401830342	-1.07130577015387	-5.64385933018242	-5.46377720216446	5.46377720216446	-0.0226820843851084	-0.493494010270459	0.0919740754015181	4.04217161452528e-08	1.33612040360285e-219	1.33140700757023e-186	1.33140700757023e-186	0.955926763474233	0.00237409336239173
5594	2	XIST	4.30443018171607	1.2290476404849	0.16042584726154	0.765275916661268	-0.765275916661268	-0.0151612560156469	4.42882886540075	9.76102266733424e-191	4.30347244529773e-32	0.1632334631906	1.58472965561778e-09	1.58472965561778e-09	0.996142904707357	1.66897661673794e-212
6149	2	MAL2	-1.05454290374924	1.6160884615325	1.49878977594824	1.48624416734203	-1.48624416734203	-2.94269598062278	1.60000485078769	2.67655393839426e-09	2.76708535805161e-20	6.76006510746351e-16	1.76991111599536e-09	1.76991111599536e-09	2.84212553133948e-85	1.02973494412394e-23
2831	3	RARRES1	4.04922127576539	1.61335712109448	1.18117844825434	2.26084444184328	-2.26084444184328	-0.487355099019983	5.80311879114334	4.06876112109872e-143	1.1567136138485e-37	1.81813661414395e-21	7.38799402664325e-42	7.38799402664325e-42	0.00538237635914921	2.07168949742069e-209
6301	3	IL33	-0.0967534018352042	-0.187298591235911	-4.8150302464235	-3.4972612038618	3.4972612038618	0.0722616315442494	0.131396510816271	0.617440209806593	0.334001957756996	3.53774719901955e-206	5.13109114460753e-67	5.13109114460753e-67	0.907098551970294	0.348909835959859
8106	3	GAPDH	-1.78399350451349	-0.599082303070845	-2.06351461082985	-1.85457904511492	1.85457904511492	0.190136123610238	-1.5953034244585	6.57627460011414e-136	4.05546642718796e-18	5.51641163078916e-166	2.97775963172834e-123	2.97775963172834e-123	0.170549377615825	1.36965579406687e-116
10583	3	UBB	4.13627172621793	0.484641860977267	0.00241388507344803	-0.304421257018328	0.304421257018328	-0.0254381615867607	4.02892381735448	2.29495269208459e-173	4.20541901820887e-06	0.999124582007682	0.0229541416163659	0.0229541416163659	0.95705970823582	5.69825259661107e-181
10784	3	KRT19	-2.11317563654076	1.63123519245732	-2.94689963079269	-2.14160353890738	2.14160353890738	-3.7859638090721	2.42791136048275	1.83624533780562e-26	3.56145348891151e-09	9.48657640982372e-52	4.70560411581135e-21	4.70560411581135e-21	1.66744366518942e-72	8.51991165280808e-21
11163	3	ACTG1	0.437996945224625	3.12612033147799	0.162436428047952	-0.0244200967885017	0.0244200967885017	0.359337568186473	-0.39752208878292	9.65289149050113e-10	2.9741567152495e-251	0.0496803454646721	0.867615852417703	0.867615852417703	0.000767116270921648	1.71996854964256e-08
1542	4	RPS27A	-1.16773892366193	-0.361263684546246	-0.477071149329441	-0.435194026504514	0.435194026504514	-0.0285377206502712	-1.8203511536652	6.75507154617409e-95	7.45073050481266e-11	2.50673150501966e-17	1.01407559561509e-11	1.01407559561509e-11	0.920967514801626	4.71200536670509e-199
2097	4	IGFBP5	-1.05034752513816	-0.466671822728389	-6.26082719603149	-4.4964336771231	4.4964336771231	0.104261648564596	0.32957039787582	0.000151745643068392	0.122894323461813	1.88390927051262e-180	1.01062258893244e-75	1.01062258893244e-75	0.912135945310037	0.133642036211952
3833	4	TGFBI	-1.70316888988499	-1.22391571748439	-3.73561233565991	-3.73987789512051	3.73987789512051	-0.247917066639912	-2.33795481414239	6.45136894461351e-21	2.84705313830591e-10	1.88663829327094e-105	2.23919854764224e-93	2.23919854764224e-93	0.642778467819649	7.66968186110877e-43
7182	4	MALAT1	0.208362059731766	4.17987894950697	-0.239326038099278	0.277977557563095	-0.277977557563095	-0.191765821620579	-0.42015626825567	0.0992545224779925	2.79001091014607e-222	0.070984806767367	0.0728929766590868	0.0728929766590868	0.473252199422717	0.000315025365300144
12312	4	SPINT2	-3.22989695897072	-0.079298762686806	1.39132942779287	1.47005798114978	-1.47005798114978	-2.42697413204796	0.853079118449825	3.51977952071889e-141	0.772372510586791	9.65203652780576e-13	9.26926652273091e-09	9.26926652273091e-09	2.26684726715223e-53	2.5234002814484e-06
12651	4	RPL28	-1.72215550111093	-0.793164922324823	-0.826986348030432	-0.644327771758825	0.644327771758825	-0.123550701467323	-1.80087456354367	3.19872362805078e-149	7.78949849750452e-38	2.09475126870029e-39	4.93254015871937e-20	4.93254015871937e-20	0.362875426206481	5.32264317573886e-165
2525	5	WNT5A	-0.229059846951939	0.822733476953375	-3.65796391906959	-3.35808612878989	3.35808612878989	1.00879107374314	-0.588715719578434	0.33189733937824	5.34743393931042e-05	1.37045630089126e-129	1.16939714838635e-91	1.16939714838635e-91	0.000622859798454055	0.00251521120929071
4467	5	EEF1A1	-1.17292443375375	-0.705454239673737	-1.04288893488005	-0.969265026420216	0.969265026420216	0.216447481978202	-2.05500395127332	1.14454421841327e-75	1.10209314577746e-29	1.24561622961697e-58	1.45285989261178e-43	1.45285989261178e-43	0.0447234110176389	9.13201467598684e-192
9350	5	IFI27	0.89228465973419	-4.57330221758812	-2.83004080896784	-1.76018458520506	1.76018458520506	-0.959729088305615	2.21227549010925	4.65904557095406e-06	1.31423887438998e-204	1.90975807496014e-79	3.09503172881866e-22	3.09503172881866e-22	3.01833489636133e-05	6.9145777304159e-33
11639	5	WFDC2	-3.45773842538581	1.22205607013336	0.828628978938842	0.587392104235617	-0.587392104235617	-3.21800103953621	0.948456509155348	3.6924207993861e-78	2.5947734252987e-11	0.000239864321394518	0.070365585010504	0.070365585010504	2.17884178110005e-50	1.15178844576986e-06
12535	5	RPL13A	-1.84608084395045	-0.295968793779209	-0.882227278511026	-0.813371203545453	0.813371203545453	-0.107588323663106	-2.02470122517924	4.01118223362886e-149	1.57538061148914e-05	5.35306962083831e-39	1.63681311503569e-27	1.63681311503569e-27	0.505056990335744	7.96197750410747e-177
5343	6	RARRES2	3.74026231149879	3.30741278247829	3.86803193383585	3.66656524619729	-3.66656524619729	-1.55131354749481	4.2896902602317	3.57554617500954e-145	3.95109868799963e-115	1.17833350339653e-130	2.99683892888779e-77	2.99683892888779e-77	6.8574529363616e-43	2.40839513255796e-184
6674	6	LCN2	-2.236489046102	2.47991147591656	2.2527494522372	2.47991147591656	-2.47991147591656	-2.68961638495113	1.86518228831214	2.1521662105323e-45	7.63727745019926e-32	2.76328977164987e-24	6.79345612331544e-18	6.79345612331544e-18	6.4556452127394e-50	2.46475401951514e-21
7833	6	SNCG	-0.00532719073665246	-4.7443958117507	-0.802471729975237	-0.36855061733173	0.36855061733173	-1.14862593545737	0.0241610145517835	0.989588681272612	1.47385388858902e-196	0.000141947685480969	0.254589809866725	0.254589809866725	2.62474162635979e-05	0.885845989473661
8855	6	DNAJC15	3.88168893980052	3.73167302593431	2.43125667564497	1.43097831215811	-1.43097831215811	0.218310166933927	3.88953605274502	8.07473611153793e-149	9.55698134605294e-125	2.78494497707897e-69	3.74215286043644e-21	3.74215286043644e-21	0.380220146979378	1.74542572836947e-162
9378	6	MEG3	0.0843723271960842	0.0624079061289963	-4.16562665972282	-2.97309943935702	2.97309943935702	0.17114150998997	0.234248276547279	0.675063774510614	0.755608150881847	1.32158954892776e-146	1.41686590478951e-44	1.41686590478951e-44	0.65618597578337	0.0988381903574524
9824	6	ALDH1A3	-1.94431135182421	-0.215663007258634	-4.59615853643781	-3.89950267414708	3.89950267414708	-1.84728186482079	0.0821451592122501	3.05476058469605e-22	0.407102679040108	7.79151031958779e-144	1.29397773861192e-85	1.29397773861192e-85	9.17314414200936e-14	0.746612190109663
177	7	CAMK2N1	1.31298522718408	2.66080490867329	0.906258005419349	0.595494389159567	-0.595494389159567	-1.8434961346796	2.98993795085512	2.72398269982902e-22	1.97451367134539e-61	9.48602574051593e-11	0.000891462726462509	0.000891462726462509	6.9920852477921e-46	7.54034662737068e-87
572	7	IFI44L	-0.379212696628408	-4.57297170857088	-1.22661934614241	-0.647003159505208	0.647003159505208	-0.0492315474795595	-0.0837841050227544	0.0309250288746136	1.46463849615367e-177	8.96476392771278e-10	0.00512157110997237	0.00512157110997237	0.940862080227824	0.600390795588552
8329	7	KRT81	-5.12356236780917	0.502503185890342	-1.32718930912964	-3.21867575746595	3.21867575746595	-0.8649171405265	-7.08919635787561	1.91622851000298e-87	0.0545504494517875	0.000179276890036842	3.28137301835905e-22	3.28137301835905e-22	0.142970812317175	5.43683161100508e-183
843	8	S100A4	2.48971339354629	-0.644834711837131	2.93014956094297	2.54531154800848	-2.54531154800848	-2.05049699815011	2.67338222673955	2.02587809949028e-46	6.01783962239884e-06	6.14241353021334e-51	5.38086414734216e-26	5.38086414734216e-26	4.14846522458387e-44	1.47023996821357e-55
3185	8	CXCL8	-3.76695749870427	-0.206103757568957	-5.48463675601015	-4.06717591445974	4.06717591445974	-0.038376970634836	0.163466673396244	1.32558455612556e-58	0.500764737013348	1.01071395399016e-135	1.53985073226255e-57	1.53985073226255e-57	0.992842783979096	0.51195139684858
